user_id,created_at,company_id,language,state
0,2013-01-01,5737,english,active
1,2013-01-01,28,english,pending
2,2013-01-01,51,english,pending
3,2013-01-01,2800,german,active
4,2013-01-01,5110,indian,active
5,2013-01-01,2463,spanish,pending
6,2013-01-01,11699,english,active
7,2013-01-01,4765,french,active
8,2013-01-01,2698,french,active
9,2013-01-01,1,french,pending
10,2013-01-01,10,arabic,pending
11,2013-01-01,3745,english,active
12,2013-01-01,903,english,pending
13,2013-01-02,4025,english,active
14,2013-01-02,5077,portugese,pending
15,2013-01-02,4259,english,active
16,2013-01-02,10408,german,pending
17,2013-01-02,5025,japanese,active
18,2013-01-02,3,japanese,pending
19,2013-01-02,326,english,active
20,2013-01-02,7,italian,active
21,2013-01-02,2606,english,active
22,2013-01-02,545,german,active
23,2013-01-02,15,english,pending
24,2013-01-03,11301,english,pending
25,2013-01-03,2,japanese,pending
26,2013-01-03,9833,english,pending
27,2013-01-03,6,japanese,active
28,2013-01-03,1167,english,pending
29,2013-01-03,1208,english,pending
30,2013-01-03,4148,english,active
31,2013-01-03,39,arabic,active
32,2013-01-03,6518,english,pending
33,2013-01-03,10768,english,active
34,2013-01-03,11353,japanese,pending
35,2013-01-03,1891,english,active
36,2013-01-03,2,english,active
37,2013-01-03,7943,spanish,pending
38,2013-01-04,7618,french,pending
39,2013-01-04,6322,chinese,pending
40,2013-01-04,361,english,pending
41,2013-01-04,5049,english,pending
42,2013-01-04,3,english,pending
43,2013-01-04,1486,english,pending
44,2013-01-04,706,japanese,pending
45,2013-01-04,7432,japanese,pending
46,2013-01-04,719,english,pending
47,2013-01-04,1,indian,active
48,2013-01-04,27,english,pending
49,2013-01-05,8727,spanish,active
50,2013-01-05,12526,spanish,active
51,2013-01-05,11855,english,pending
52,2013-01-06,6,english,active
53,2013-01-06,13119,english,pending
54,2013-01-06,2,english,active
55,2013-01-06,2233,german,active
56,2013-01-07,4224,english,pending
57,2013-01-07,3184,portugese,pending
58,2013-01-07,6855,german,pending
59,2013-01-07,2296,chinese,active
60,2013-01-07,3427,english,pending
61,2013-01-07,9260,spanish,pending
62,2013-01-07,4,japanese,pending
63,2013-01-07,5,english,pending
64,2013-01-07,9229,english,active
65,2013-01-07,12736,portugese,pending
66,2013-01-07,7927,french,active
67,2013-01-07,10818,english,active
68,2013-01-07,11005,spanish,pending
69,2013-01-08,128,english,pending
70,2013-01-08,502,english,pending
71,2013-01-08,3640,japanese,pending
72,2013-01-08,9024,english,pending
73,2013-01-08,33,english,pending
74,2013-01-08,1,english,pending
75,2013-01-08,26,english,pending
76,2013-01-08,215,english,pending
77,2013-01-08,21,english,pending
78,2013-01-08,1,english,active
79,2013-01-08,5870,chinese,pending
80,2013-01-08,925,spanish,active
81,2013-01-08,10217,russian,pending
82,2013-01-09,12403,english,pending
83,2013-01-09,2343,english,active
84,2013-01-09,9501,english,active
85,2013-01-09,9531,spanish,pending
86,2013-01-09,1,indian,active
87,2013-01-09,95,english,active
88,2013-01-09,3629,english,pending
89,2013-01-09,100,french,pending
90,2013-01-09,789,english,active
91,2013-01-09,5895,arabic,pending
92,2013-01-09,1,english,active
93,2013-01-10,11406,italian,pending
94,2013-01-10,1,english,pending
95,2013-01-10,11485,english,pending
96,2013-01-10,9728,indian,pending
97,2013-01-10,7578,french,active
98,2013-01-10,9136,portugese,active
99,2013-01-10,7,english,active
100,2013-01-10,1,english,pending
101,2013-01-10,5343,french,active
102,2013-01-10,9294,english,pending
103,2013-01-10,44,portugese,active
104,2013-01-10,4936,english,active
105,2013-01-11,12000,english,active
106,2013-01-11,12473,italian,active
107,2013-01-11,12411,english,active
108,2013-01-11,8,japanese,active
109,2013-01-11,1777,spanish,pending
110,2013-01-11,87,english,pending
111,2013-01-11,2,arabic,active
112,2013-01-11,11414,german,pending
113,2013-01-11,457,german,active
114,2013-01-11,2696,english,pending
115,2013-01-11,2361,chinese,pending
116,2013-01-12,1,english,pending
117,2013-01-12,8636,japanese,active
118,2013-01-12,1,english,active
119,2013-01-12,5,english,active
120,2013-01-13,376,japanese,active
121,2013-01-13,9770,chinese,active
122,2013-01-13,274,english,pending
123,2013-01-14,219,spanish,active
124,2013-01-14,9039,german,active
125,2013-01-14,10578,english,pending
126,2013-01-14,3,arabic,pending
127,2013-01-14,12072,arabic,pending
128,2013-01-14,2470,russian,active
129,2013-01-14,6,spanish,active
130,2013-01-14,2,german,active
131,2013-01-14,2637,french,pending
132,2013-01-14,23,portugese,active
133,2013-01-14,101,french,active
134,2013-01-14,1914,japanese,active
135,2013-01-14,5981,arabic,pending
136,2013-01-15,11080,spanish,active
137,2013-01-15,2837,english,active
138,2013-01-15,2541,indian,active
139,2013-01-15,467,japanese,active
140,2013-01-15,11088,japanese,active
141,2013-01-15,49,english,pending
142,2013-01-15,2861,english,active
143,2013-01-15,2,indian,active
144,2013-01-15,36,english,active
145,2013-01-15,1118,english,active
146,2013-01-15,12768,japanese,pending
147,2013-01-15,9001,japanese,pending
148,2013-01-15,12534,japanese,pending
149,2013-01-15,2872,english,active
150,2013-01-15,908,english,active
151,2013-01-16,511,english,active
152,2013-01-16,6474,russian,pending
153,2013-01-16,1256,english,active
154,2013-01-16,5385,english,active
155,2013-01-16,2889,english,active
156,2013-01-16,1210,english,active
157,2013-01-16,4749,english,pending
158,2013-01-16,5825,arabic,pending
159,2013-01-16,5849,english,active
160,2013-01-16,12283,indian,pending
161,2013-01-16,4529,japanese,pending
162,2013-01-16,8667,spanish,pending
163,2013-01-16,1092,arabic,active
164,2013-01-16,4807,german,pending
165,2013-01-17,6230,spanish,active
166,2013-01-17,12205,english,active
167,2013-01-17,1214,english,active
168,2013-01-17,5,japanese,pending
169,2013-01-17,825,spanish,pending
170,2013-01-17,11,english,active
171,2013-01-17,13001,korean,active
172,2013-01-17,4196,chinese,active
173,2013-01-17,11339,french,active
174,2013-01-17,478,english,pending
175,2013-01-17,3717,french,active
176,2013-01-17,127,french,pending
177,2013-01-17,11952,italian,active
178,2013-01-18,2730,spanish,active
179,2013-01-18,2976,portugese,active
180,2013-01-18,1,german,pending
181,2013-01-18,2882,spanish,active
182,2013-01-18,2596,indian,active
183,2013-01-18,4924,english,pending
184,2013-01-18,6426,french,active
185,2013-01-18,3109,english,active
186,2013-01-18,753,chinese,active
187,2013-01-18,9,english,pending
188,2013-01-18,130,japanese,active
189,2013-01-18,780,english,pending
190,2013-01-18,12823,english,active
191,2013-01-18,10553,english,active
192,2013-01-19,11020,english,pending
193,2013-01-19,1436,indian,pending
194,2013-01-19,36,english,active
195,2013-01-19,6245,italian,pending
196,2013-01-20,1346,japanese,active
197,2013-01-20,9274,french,pending
198,2013-01-20,12069,english,pending
199,2013-01-20,9284,french,pending
200,2013-01-21,11258,french,pending
201,2013-01-21,8624,english,active
202,2013-01-21,2443,english,pending
203,2013-01-21,11741,japanese,active
204,2013-01-21,108,japanese,pending
205,2013-01-21,13008,japanese,pending
206,2013-01-21,5730,english,active
207,2013-01-21,6219,german,pending
208,2013-01-21,7314,french,active
209,2013-01-21,14,english,active
210,2013-01-21,5,italian,pending
211,2013-01-21,748,spanish,active
212,2013-01-21,4582,indian,active
213,2013-01-22,12023,english,pending
214,2013-01-22,44,russian,active
215,2013-01-22,36,english,active
216,2013-01-22,12567,german,pending
217,2013-01-22,4001,english,active
218,2013-01-22,2847,english,pending
219,2013-01-22,7334,spanish,pending
220,2013-01-22,7,english,active
221,2013-01-22,2234,chinese,active
222,2013-01-22,15,french,pending
223,2013-01-22,3638,english,pending
224,2013-01-22,5793,german,pending
225,2013-01-22,13182,english,pending
226,2013-01-23,6489,english,active
227,2013-01-23,6,english,active
228,2013-01-23,5155,english,active
229,2013-01-23,45,english,pending
230,2013-01-23,5386,french,active
231,2013-01-23,7632,japanese,pending
232,2013-01-23,9781,spanish,active
233,2013-01-23,10502,french,pending
234,2013-01-23,6745,english,pending
235,2013-01-23,893,indian,active
236,2013-01-23,10137,english,pending
237,2013-01-23,10034,spanish,pending
238,2013-01-23,5782,english,pending
239,2013-01-23,9059,japanese,active
240,2013-01-24,42,korean,pending
241,2013-01-24,5043,indian,pending
242,2013-01-24,6427,arabic,pending
243,2013-01-24,4181,spanish,active
244,2013-01-24,4199,english,active
245,2013-01-24,5344,arabic,pending
246,2013-01-24,5,german,active
247,2013-01-24,3977,chinese,active
248,2013-01-24,7608,chinese,pending
249,2013-01-24,2,korean,pending
250,2013-01-24,9564,english,pending
251,2013-01-24,15,indian,pending
252,2013-01-24,4285,english,pending
253,2013-01-24,11615,english,active
254,2013-01-25,3715,arabic,active
255,2013-01-25,4127,russian,pending
256,2013-01-25,1620,english,pending
257,2013-01-25,11452,french,pending
258,2013-01-25,10677,french,pending
259,2013-01-25,5165,english,active
260,2013-01-25,609,chinese,active
261,2013-01-25,1103,english,active
262,2013-01-25,284,italian,active
263,2013-01-25,1577,english,pending
264,2013-01-25,56,japanese,active
265,2013-01-25,10702,russian,pending
266,2013-01-25,8842,english,active
267,2013-01-25,275,french,pending
268,2013-01-25,193,english,active
269,2013-01-25,55,portugese,pending
270,2013-01-26,11925,french,active
271,2013-01-26,39,english,active
272,2013-01-26,10758,chinese,active
273,2013-01-27,10427,russian,pending
274,2013-01-27,1969,arabic,pending
275,2013-01-27,13020,japanese,pending
276,2013-01-27,2225,italian,active
277,2013-01-28,9486,english,pending
278,2013-01-28,5,english,active
279,2013-01-28,303,english,pending
280,2013-01-28,24,german,pending
281,2013-01-28,175,english,active
282,2013-01-28,11425,english,pending
283,2013-01-28,4890,french,pending
284,2013-01-28,2471,english,pending
285,2013-01-28,11340,german,active
286,2013-01-28,12299,japanese,active
287,2013-01-28,4590,english,active
288,2013-01-28,8264,russian,active
289,2013-01-28,150,german,active
290,2013-01-28,2,german,pending
291,2013-01-29,12539,french,pending
292,2013-01-29,484,english,pending
293,2013-01-29,6553,english,pending
294,2013-01-29,8860,japanese,pending
295,2013-01-29,10319,french,pending
296,2013-01-29,9087,english,pending
297,2013-01-29,9077,indian,active
298,2013-01-29,85,chinese,pending
299,2013-01-29,38,german,pending
300,2013-01-29,624,russian,active
301,2013-01-29,3,arabic,active
302,2013-01-29,7925,english,pending
303,2013-01-29,2094,english,pending
304,2013-01-29,6796,chinese,pending
305,2013-01-30,9876,indian,active
306,2013-01-30,6,japanese,active
307,2013-01-30,8,japanese,active
308,2013-01-30,75,english,pending
309,2013-01-30,94,portugese,active
310,2013-01-30,3696,japanese,pending
311,2013-01-30,113,indian,pending
312,2013-01-30,13011,english,active
313,2013-01-30,10354,german,pending
314,2013-01-30,225,english,pending
315,2013-01-30,1,japanese,pending
316,2013-01-30,1193,japanese,pending
317,2013-01-30,18,spanish,pending
318,2013-01-30,4801,arabic,active
319,2013-01-31,3,spanish,active
320,2013-01-31,7667,english,pending
321,2013-01-31,12769,arabic,active
322,2013-01-31,85,portugese,active
323,2013-01-31,3852,english,active
324,2013-01-31,3,japanese,pending
325,2013-01-31,3532,english,pending
326,2013-01-31,3431,french,active
327,2013-01-31,7187,english,pending
328,2013-01-31,13094,english,pending
329,2013-01-31,2,english,pending
330,2013-01-31,6999,japanese,active
331,2013-01-31,6035,english,pending
332,2013-02-01,219,english,active
333,2013-02-01,4182,english,pending
334,2013-02-01,6527,english,pending
335,2013-02-01,2930,spanish,active
336,2013-02-01,10093,chinese,pending
337,2013-02-01,8766,chinese,pending
338,2013-02-01,2,spanish,active
339,2013-02-01,9900,french,pending
340,2013-02-01,5168,italian,pending
341,2013-02-01,4201,english,active
342,2013-02-01,8697,german,pending
343,2013-02-01,2591,english,pending
344,2013-02-02,1,english,pending
345,2013-02-02,10442,english,active
346,2013-02-02,6010,english,active
347,2013-02-02,10,german,active
348,2013-02-03,3,english,pending
349,2013-02-03,7321,arabic,active
